Cost rank,State,Average insurance cost
1,Oklahoma,2559.00
2,Kansas,2461.00
3,Texas,2451.00
4,South Dakota,2364.00
5,South Carolina,2321.00
6,Minnesota,1952.00
7,Montana,1939.00
8,Missouri,1914.00
9,North Dakota,1901.00
10,Alabama,1850.00
11,California,1826.00
12,Colorado,1813.00
13,Nebraska,1749.00
14,Florida,1727.00
15,Georgia,1713.00
16,Connecticut,1712.00
17,Louisiana,1568.00
18,Arizona,1528.00
19,Michigan,1493.00
20,Mississippi,1442.00
21,New Jersey,1430.00
22,Iowa,1421.00
23,West Virginia,1416.00
24,Rhode Island,1414.00
25,Kentucky,1407.00
26,Illinois,1405.00
27,Maryland,1392.00
28,Alaska,1356.00
29,Virginia,1341.00
30,Wisconsin,1313.00
31,New Mexico,1284.00
32,Wyoming,1263.00
33,Arkansas,1250.00
34,Tennessee,1241.00
35,Washington,1235.00
36,Ohio,1214.00
37,Oregon,1208.00
38,Massachusetts,1168.00
39,Hawaii,1083.00
40,Nevada,1047.00
41,North Carolina,992.00
42,New York,974.00
43,Idaho,940.00
44,Indiana,901.00
45,Maine,849.00
46,New Hampshire,773.00
47,Utah,711.00
48,Pennsylvania,640.00
49,Vermont,614.00
50,Delaware,598.00